sample size and proportion,classifier,metric,precision,recall,f1-score,support
200_2080,dt_tfidf,0,0.5,0.666666667,0.571428571,6
200_2080,dt_tfidf,1,0.916666667,0.846153846,0.88,26
200_2080,dt_tfidf,accuracy,0.8125,0.8125,0.8125,0.8125
200_2080,dt_tfidf,macro avg,0.708333333,0.756410256,0.725714286,32
200_2080,dt_tfidf,weighted avg,0.838541667,0.8125,0.822142857,32
200_2080,svc_tfidf,0,1,0.166666667,0.285714286,6
200_2080,svc_tfidf,1,0.838709677,1,0.912280702,26
200_2080,svc_tfidf,accuracy,0.84375,0.84375,0.84375,0.84375
200_2080,svc_tfidf,macro avg,0.919354839,0.583333333,0.598997494,32
200_2080,svc_tfidf,weighted avg,0.868951613,0.84375,0.794799499,32
200_2080,lsvc_tfidf,0,0.5,0.5,0.5,6
200_2080,lsvc_tfidf,1,0.884615385,0.884615385,0.884615385,26
200_2080,lsvc_tfidf,accuracy,0.8125,0.8125,0.8125,0.8125
200_2080,lsvc_tfidf,macro avg,0.692307692,0.692307692,0.692307692,32
200_2080,lsvc_tfidf,weighted avg,0.8125,0.8125,0.8125,32
200_2080,sgd_tfidf,0,0.571428571,0.666666667,0.615384615,6
200_2080,sgd_tfidf,1,0.92,0.884615385,0.901960784,26
200_2080,sgd_tfidf,accuracy,0.84375,0.84375,0.84375,0.84375
200_2080,sgd_tfidf,macro avg,0.745714286,0.775641026,0.7586727,32
200_2080,sgd_tfidf,weighted avg,0.854642857,0.84375,0.848227753,32
200_2080,knn_tfidf,0,0.75,0.5,0.6,6
200_2080,knn_tfidf,1,0.892857143,0.961538462,0.925925926,26
200_2080,knn_tfidf,accuracy,0.875,0.875,0.875,0.875
200_2080,knn_tfidf,macro avg,0.821428571,0.730769231,0.762962963,32
200_2080,knn_tfidf,weighted avg,0.866071429,0.875,0.864814815,32
200_2080,lr_w2v,0,0,0,0,6
200_2080,lr_w2v,1,0.8125,1,0.896551724,26
200_2080,lr_w2v,accuracy,0.8125,0.8125,0.8125,0.8125
200_2080,lr_w2v,macro avg,0.40625,0.5,0.448275862,32
200_2080,lr_w2v,weighted avg,0.66015625,0.8125,0.728448276,32
200_3070,lr_tfidf,0,0.833333333,0.555555556,0.666666667,9
200_3070,lr_tfidf,1,0.846153846,0.956521739,0.897959184,23
200_3070,lr_tfidf,accuracy,0.84375,0.84375,0.84375,0.84375
200_3070,lr_tfidf,macro avg,0.83974359,0.756038647,0.782312925,32
200_3070,lr_tfidf,weighted avg,0.842548077,0.84375,0.832908163,32
200_3070,nb_tfidf,0,1,0.111111111,0.2,9
200_3070,nb_tfidf,1,0.741935484,1,0.851851852,23
200_3070,nb_tfidf,accuracy,0.75,0.75,0.75,0.75
