sample size and proportion,classifier,metric,val
400_4060,lr_tfidf,std,0.072651627
400_4060,nb_tfidf,f1_mean,0.6155458
400_4060,nb_tfidf,ci_lower,0.455883066
400_4060,nb_tfidf,ci_upper,0.756881068
400_4060,nb_tfidf,std,0.076716313
400_4060,rf_tfidf,f1_mean,0.558652587
400_4060,rf_tfidf,ci_lower,0.402664616
400_4060,rf_tfidf,ci_upper,0.71841885
400_4060,rf_tfidf,std,0.078735033
400_4060,dt_tfidf,f1_mean,0.504461919
400_4060,dt_tfidf,ci_lower,0.382692008
400_4060,dt_tfidf,ci_upper,0.627120348
400_4060,dt_tfidf,std,0.064760489
400_4060,svc_tfidf,f1_mean,0.641526098
400_4060,svc_tfidf,ci_lower,0.46839183
400_4060,svc_tfidf,ci_upper,0.785098214
400_4060,svc_tfidf,std,0.077134282
400_4060,lsvc_tfidf,f1_mean,0.63475905
400_4060,lsvc_tfidf,ci_lower,0.497031885
400_4060,lsvc_tfidf,ci_upper,0.771160396
400_4060,lsvc_tfidf,std,0.071038222
400_4060,sgd_tfidf,f1_mean,0.63823497
400_4060,sgd_tfidf,ci_lower,0.518173447
400_4060,sgd_tfidf,ci_upper,0.769936862
400_4060,sgd_tfidf,std,0.066395879
400_4060,knn_tfidf,f1_mean,0.563738997
400_4060,knn_tfidf,ci_lower,0.440380391
400_4060,knn_tfidf,ci_upper,0.67044073
400_4060,knn_tfidf,std,0.061102818
400_5050,lr_tfidf,f1_mean,0.584108396
400_5050,lr_tfidf,ci_lower,0.462679108
400_5050,lr_tfidf,ci_upper,0.701789773
400_5050,lr_tfidf,std,0.063078409
400_5050,nb_tfidf,f1_mean,0.645262863
400_5050,nb_tfidf,ci_lower,0.524203633
400_5050,nb_tfidf,ci_upper,0.762436229
400_5050,nb_tfidf,std,0.0621069
400_5050,rf_tfidf,f1_mean,0.645340956
400_5050,rf_tfidf,ci_lower,0.505746124
400_5050,rf_tfidf,ci_upper,0.772693007
400_5050,rf_tfidf,std,0.067954115
400_5050,dt_tfidf,f1_mean,0.492866867
400_5050,dt_tfidf,ci_lower,0.372090517
400_5050,dt_tfidf,ci_upper,0.598146645
400_5050,dt_tfidf,std,0.060587701
400_5050,svc_tfidf,f1_mean,0.646403148
400_5050,svc_tfidf,ci_lower,0.520198006
400_5050,svc_tfidf,ci_upper,0.76521819
400_5050,svc_tfidf,std,0.063763385
400_5050,lsvc_tfidf,f1_mean,0.583953618
400_5050,lsvc_tfidf,ci_lower,0.465712142
400_5050,lsvc_tfidf,ci_upper,0.705582231
400_5050,lsvc_tfidf,std,0.062050909
400_5050,sgd_tfidf,f1_mean,0.615715939
400_5050,sgd_tfidf,ci_lower,0.496029412
400_5050,sgd_tfidf,ci_upper,0.747463942
400_5050,sgd_tfidf,std,0.063553859
400_5050,knn_tfidf,f1_mean,0.6521713
400_5050,knn_tfidf,ci_lower,0.526405538
