sample size and proportion,classifier,metric,precision,recall,f1-score,support
200_2080,lsvc_tfidf,accuracy,0.84375,0.84375,0.84375,0.84375
200_2080,lsvc_tfidf,macro avg,0.919354839,0.583333333,0.598997494,32
200_2080,lsvc_tfidf,weighted avg,0.868951613,0.84375,0.794799499,32
200_2080,sgd_tfidf,0,1,0.166666667,0.285714286,6
200_2080,sgd_tfidf,1,0.838709677,1,0.912280702,26
200_2080,sgd_tfidf,accuracy,0.84375,0.84375,0.84375,0.84375
200_2080,sgd_tfidf,macro avg,0.919354839,0.583333333,0.598997494,32
200_2080,sgd_tfidf,weighted avg,0.868951613,0.84375,0.794799499,32
200_2080,knn_tfidf,0,1,0.333333333,0.5,6
200_2080,knn_tfidf,1,0.866666667,1,0.928571429,26
200_2080,knn_tfidf,accuracy,0.875,0.875,0.875,0.875
200_2080,knn_tfidf,macro avg,0.933333333,0.666666667,0.714285714,32
200_2080,knn_tfidf,weighted avg,0.891666667,0.875,0.848214286,32
200_2080,lr_w2v,0,0,0,0,6
200_2080,lr_w2v,1,0.8125,1,0.896551724,26
200_2080,lr_w2v,accuracy,0.8125,0.8125,0.8125,0.8125
200_2080,lr_w2v,macro avg,0.40625,0.5,0.448275862,32
200_2080,lr_w2v,weighted avg,0.66015625,0.8125,0.728448276,32
200_3070,lr_tfidf,0,0,0,0,6
200_3070,lr_tfidf,1,0.777777778,0.807692308,0.79245283,26
200_3070,lr_tfidf,accuracy,0.65625,0.65625,0.65625,0.65625
200_3070,lr_tfidf,macro avg,0.388888889,0.403846154,0.396226415,32
200_3070,lr_tfidf,weighted avg,0.631944444,0.65625,0.643867925,32
200_3070,nb_tfidf,0,0,0,0,6
200_3070,nb_tfidf,1,0.8125,1,0.896551724,26
200_3070,nb_tfidf,accuracy,0.8125,0.8125,0.8125,0.8125
200_3070,nb_tfidf,macro avg,0.40625,0.5,0.448275862,32
200_3070,nb_tfidf,weighted avg,0.66015625,0.8125,0.728448276,32
200_3070,rf_tfidf,0,0,0,0,6
200_3070,rf_tfidf,1,0.806451613,0.961538462,0.877192982,26
200_3070,rf_tfidf,accuracy,0.78125,0.78125,0.78125,0.78125
