sample size and proportion,classifier,metric,val
400_2080,dt_tfidf,std,0.049841757
400_2080,svc_tfidf,f1_mean,0.838761743
400_2080,svc_tfidf,ci_lower,0.719660229
400_2080,svc_tfidf,ci_upper,0.941748482
400_2080,svc_tfidf,std,0.057503883
400_2080,lsvc_tfidf,f1_mean,0.922301438
400_2080,lsvc_tfidf,ci_lower,0.842063376
400_2080,lsvc_tfidf,ci_upper,0.983884672
400_2080,lsvc_tfidf,std,0.03556115
400_2080,sgd_tfidf,f1_mean,0.881800742
400_2080,sgd_tfidf,ci_lower,0.799753429
400_2080,sgd_tfidf,ci_upper,0.954085817
400_2080,sgd_tfidf,std,0.038327426
400_2080,knn_tfidf,f1_mean,0.863736228
400_2080,knn_tfidf,ci_lower,0.77682769
400_2080,knn_tfidf,ci_upper,0.9375
400_2080,knn_tfidf,std,0.042560411
400_3070,lr_tfidf,f1_mean,0.732132975
400_3070,lr_tfidf,ci_lower,0.612805515
400_3070,lr_tfidf,ci_upper,0.854910714
400_3070,lr_tfidf,std,0.066039155
400_3070,nb_tfidf,f1_mean,0.614672923
400_3070,nb_tfidf,ci_lower,0.490045215
400_3070,nb_tfidf,ci_upper,0.750267094
400_3070,nb_tfidf,std,0.069145036
400_3070,rf_tfidf,f1_mean,0.623546864
400_3070,rf_tfidf,ci_lower,0.480769231
400_3070,rf_tfidf,ci_upper,0.750267094
400_3070,rf_tfidf,std,0.070854599
400_3070,dt_tfidf,f1_mean,0.682561111
400_3070,dt_tfidf,ci_lower,0.555782298
400_3070,dt_tfidf,ci_upper,0.797222222
400_3070,dt_tfidf,std,0.063931508
400_3070,svc_tfidf,f1_mean,0.687955241
400_3070,svc_tfidf,ci_lower,0.53505609
400_3070,svc_tfidf,ci_upper,0.822787611
400_3070,svc_tfidf,std,0.07340333
400_3070,lsvc_tfidf,f1_mean,0.712241607
400_3070,lsvc_tfidf,ci_lower,0.581598068
400_3070,lsvc_tfidf,ci_upper,0.8372804
400_3070,lsvc_tfidf,std,0.065253771
400_3070,sgd_tfidf,f1_mean,0.665111166
400_3070,sgd_tfidf,ci_lower,0.52933479
400_3070,sgd_tfidf,ci_upper,0.789003759
400_3070,sgd_tfidf,std,0.067080801
400_3070,knn_tfidf,f1_mean,0.690807014
400_3070,knn_tfidf,ci_lower,0.571597135
400_3070,knn_tfidf,ci_upper,0.796710271
400_3070,knn_tfidf,std,0.059558162
400_4060,lr_tfidf,f1_mean,0.687829684
400_4060,lr_tfidf,ci_lower,0.573550978
400_4060,lr_tfidf,ci_upper,0.806738281
400_4060,lr_tfidf,std,0.060831185
400_4060,nb_tfidf,f1_mean,0.732604113
400_4060,nb_tfidf,ci_lower,0.615198767
400_4060,nb_tfidf,ci_upper,0.858922487
400_4060,nb_tfidf,std,0.063122052
400_4060,rf_tfidf,f1_mean,0.711683584
400_4060,rf_tfidf,ci_lower,0.591716208
400_4060,rf_tfidf,ci_upper,0.83271123
400_4060,rf_tfidf,std,0.062263485
400_4060,dt_tfidf,f1_mean,0.755853146
400_4060,dt_tfidf,ci_lower,0.642585593
400_4060,dt_tfidf,ci_upper,0.862696144
400_4060,dt_tfidf,std,0.053648907
400_4060,svc_tfidf,f1_mean,0.736956511
400_4060,svc_tfidf,ci_lower,0.61328125
400_4060,svc_tfidf,ci_upper,0.855203349
400_4060,svc_tfidf,std,0.060488736
400_4060,lsvc_tfidf,f1_mean,0.664416107
400_4060,lsvc_tfidf,ci_lower,0.554289201
400_4060,lsvc_tfidf,ci_upper,0.7710591
400_4060,lsvc_tfidf,std,0.057957954
400_4060,sgd_tfidf,f1_mean,0.678640417
400_4060,sgd_tfidf,ci_lower,0.560649637
400_4060,sgd_tfidf,ci_upper,0.789075769
400_4060,sgd_tfidf,std,0.057578994
400_4060,knn_tfidf,f1_mean,0.710421879
400_4060,knn_tfidf,ci_lower,0.586923264
400_4060,knn_tfidf,ci_upper,0.816063029
400_4060,knn_tfidf,std,0.057062203
400_5050,lr_tfidf,f1_mean,0.729430365
400_5050,lr_tfidf,ci_lower,0.607411574
400_5050,lr_tfidf,ci_upper,0.839034956
400_5050,lr_tfidf,std,0.058806389
400_5050,nb_tfidf,f1_mean,0.623634511
400_5050,nb_tfidf,ci_lower,0.496896552
400_5050,nb_tfidf,ci_upper,0.736187434
400_5050,nb_tfidf,std,0.064409654
400_5050,rf_tfidf,f1_mean,0.626474098
400_5050,rf_tfidf,ci_lower,0.494444012
400_5050,rf_tfidf,ci_upper,0.759895
400_5050,rf_tfidf,std,0.067987025
400_5050,dt_tfidf,f1_mean,0.706339558
400_5050,dt_tfidf,ci_lower,0.589529756
400_5050,dt_tfidf,ci_upper,0.826816297
400_5050,dt_tfidf,std,0.061073061
400_5050,svc_tfidf,f1_mean,0.609814786
400_5050,svc_tfidf,ci_lower,0.475760135
400_5050,svc_tfidf,ci_upper,0.73065516
400_5050,svc_tfidf,std,0.068171011
400_5050,lsvc_tfidf,f1_mean,0.709914035
400_5050,lsvc_tfidf,ci_lower,0.582085878
400_5050,lsvc_tfidf,ci_upper,0.824999152
400_5050,lsvc_tfidf,std,0.060332086
400_5050,sgd_tfidf,f1_mean,0.720086033
400_5050,sgd_tfidf,ci_lower,0.604457837
400_5050,sgd_tfidf,ci_upper,0.827831197
400_5050,sgd_tfidf,std,0.056907357
400_5050,knn_tfidf,f1_mean,0.682807677
400_5050,knn_tfidf,ci_lower,0.563821934
400_5050,knn_tfidf,ci_upper,0.796331944
400_5050,knn_tfidf,std,0.061056271
500_1090,lr_tfidf,f1_mean,0.842302876
500_1090,lr_tfidf,ci_lower,0.739613328
500_1090,lr_tfidf,ci_upper,0.939475
500_1090,lr_tfidf,std,0.050067764
500_1090,nb_tfidf,f1_mean,0.817855187
500_1090,nb_tfidf,ci_lower,0.702065365
500_1090,nb_tfidf,ci_upper,0.925641026
500_1090,nb_tfidf,std,0.054126418
500_1090,rf_tfidf,f1_mean,0.818591752
500_1090,rf_tfidf,ci_lower,0.711111111
500_1090,rf_tfidf,ci_upper,0.907258065
500_1090,rf_tfidf,std,0.053205627
500_1090,dt_tfidf,f1_mean,0.84628772
500_1090,dt_tfidf,ci_lower,0.759429063
500_1090,dt_tfidf,ci_upper,0.930743243
500_1090,dt_tfidf,std,0.043460208
500_1090,svc_tfidf,f1_mean,0.81967763
500_1090,svc_tfidf,ci_lower,0.711111111
500_1090,svc_tfidf,ci_upper,0.907258065
500_1090,svc_tfidf,std,0.053984322
500_1090,lsvc_tfidf,f1_mean,0.869779599
500_1090,lsvc_tfidf,ci_lower,0.781081081
500_1090,lsvc_tfidf,ci_upper,0.94777926
500_1090,lsvc_tfidf,std,0.043144583
500_1090,sgd_tfidf,f1_mean,0.881329754
500_1090,sgd_tfidf,ci_lower,0.788402039
500_1090,sgd_tfidf,ci_upper,0.95776388
500_1090,sgd_tfidf,std,0.044083759
500_1090,knn_tfidf,f1_mean,0.839781626
500_1090,knn_tfidf,ci_lower,0.753263889
500_1090,knn_tfidf,ci_upper,0.917317466
500_1090,knn_tfidf,std,0.042179728
500_2080,lr_tfidf,f1_mean,0.830801226
500_2080,lr_tfidf,ci_lower,0.733045073
500_2080,lr_tfidf,ci_upper,0.922134387
500_2080,lr_tfidf,std,0.047373197
500_2080,nb_tfidf,f1_mean,0.745809619
500_2080,nb_tfidf,ci_lower,0.626079137
500_2080,nb_tfidf,ci_upper,0.852631579
500_2080,nb_tfidf,std,0.058538129
500_2080,rf_tfidf,f1_mean,0.747562435
500_2080,rf_tfidf,ci_lower,0.626079137
500_2080,rf_tfidf,ci_upper,0.852631579
500_2080,rf_tfidf,std,0.058965508
500_2080,dt_tfidf,f1_mean,0.828175446
500_2080,dt_tfidf,ci_lower,0.736986237
500_2080,dt_tfidf,ci_upper,0.910731415
500_2080,dt_tfidf,std,0.045583653
500_2080,svc_tfidf,f1_mean,0.770894922
500_2080,svc_tfidf,ci_lower,0.6483778
500_2080,svc_tfidf,ci_upper,0.880500368
500_2080,svc_tfidf,std,0.058877192
500_2080,lsvc_tfidf,f1_mean,0.850769614
500_2080,lsvc_tfidf,ci_lower,0.763642469
500_2080,lsvc_tfidf,ci_upper,0.933482416
500_2080,lsvc_tfidf,std,0.043666285
500_2080,sgd_tfidf,f1_mean,0.837759488
500_2080,sgd_tfidf,ci_lower,0.749376538
500_2080,sgd_tfidf,ci_upper,0.91674025
500_2080,sgd_tfidf,std,0.043462625
500_2080,knn_tfidf,f1_mean,0.869392493
500_2080,knn_tfidf,ci_lower,0.788713819
500_2080,knn_tfidf,ci_upper,0.93902632
500_2080,knn_tfidf,std,0.039240603
500_3070,lr_tfidf,f1_mean,0.73752287
500_3070,lr_tfidf,ci_lower,0.626781174
500_3070,lr_tfidf,ci_upper,0.838343585
500_3070,lr_tfidf,std,0.055378687
500_3070,nb_tfidf,f1_mean,0.61966903
500_3070,nb_tfidf,ci_lower,0.494686364
500_3070,nb_tfidf,ci_upper,0.745205495
